Date,Returns
1/03/05,-0.011
1/04/05,-0.0096
1/05/05,-0.0043
1/06/05,0.0071
1/07/05,0.0003
1/10/05,0.0083
1/11/05,-0.0102
1/12/05,0.0055
1/13/05,-0.0174
1/14/05,0.0058
1/18/05,0.0092
1/19/05,-0.0064
1/20/05,-0.0034
1/21/05,-0.0102
1/24/05,-0.0105
1/25/05,0.0091
1/26/05,0.0081
1/27/05,-0.0021
1/28/05,-0.0106
1/31/05,0.0013
2/01/05,0.0074
2/02/05,0.0046
2/03/05,-0.004
2/04/05,0.0109
2/07/05,0.0039
2/08/05,0.001
2/09/05,-0.0127
2/10/05,0.0007
2/11/05,0.0128
2/14/05,-0.001
2/15/05,-0.0008
2/16/05,-0.0033
2/17/05,-0.0014
2/18/05,0.0147
2/22/05,-0.0117
2/23/05,0.0044
2/24/05,0.0074
2/25/05,0.009
2/28/05,-0.0172
3/01/05,0.0085
3/02/05,0.0002
3/03/05,-0.0033
3/04/05,0.0037
3/07/05,0.0038
3/08/05,-0.0061
3/09/05,-0.006
3/10/05,0.0007
3/11/05,-0.0092
3/14/05,0.014
3/15/05,-0.0117
3/16/05,-0.0074
3/17/05,-0.0004
3/18/05,0.0004
3/21/05,-0.0013
3/22/05,-0.0023
3/23/05,0.0116
3/24/05,0.0011
3/28/05,-0.002
3/29/05,-0.0046
3/30/05,0.0131
3/31/05,-0.007
4/01/05,-0.0085
4/04/05,0.0026
4/05/05,0.0182
4/06/05,0.0033
4/07/05,0.0097
4/08/05,-0.008
4/11/05,-0.0004
4/12/05,0.0065
4/13/05,0.0054
4/14/05,-0.0003
4/15/05,0.0126
4/18/05,-0.006
4/19/05,0.0002
4/20/05,-0.0112
4/21/05,0.0137
4/22/05,-0.0035
4/25/05,0.0011
4/26/05,-0.0027
4/27/05,0.0036
4/28/05,-0.0098
4/29/05,0.0131
5/02/05,0.0028
5/03/05,0.0034
5/04/05,0.0091
5/05/05,-0.0016
5/06/05,-0.004
5/09/05,0.0051
5/10/05,-0.0048
5/11/05,0.0042
5/12/05,-0.0036
5/13/05,-0.0045
5/16/05,0.0108
5/17/05,-0.0002
5/18/05,0.0038
5/19/05,0.0016
5/20/05,-0.0022
5/23/05,0.0033
5/24/05,0.0015
5/25/05,-0.0062
5/26/05,0.0045
