Date,Returns
1/03/05,-0.0183
1/04/05,-0.0117
1/05/05,-0.0078
1/06/05,0.0078
1/07/05,-0.0035
1/10/05,0.0066
1/11/05,-0.004
1/12/05,0.0098
1/13/05,-0.0007
1/14/05,0.0095
1/18/05,0.0062
1/19/05,-0.0049
1/20/05,-0.0063
1/21/05,-0.0045
1/24/05,-0.0003
1/25/05,0.0033
1/26/05,0.0078
1/27/05,0.0062
1/28/05,-0.002
1/31/05,0.0099
2/01/05,0.0114
2/02/05,0.0084
2/03/05,0.002
2/04/05,0.0081
2/07/05,-0.003
2/08/05,0.004
2/09/05,-0.0073
2/10/05,0.0115
2/11/05,0.0069
2/14/05,0.0044
2/15/05,0.002
2/16/05,0.0125
2/17/05,-0.0075
2/18/05,0.0068
2/22/05,-0.0158
2/23/05,0.011
2/24/05,0.0152
2/25/05,0.0183
2/28/05,-0.006
3/01/05,-0.0047
3/02/05,0.0035
3/03/05,0.0059
3/04/05,0.0143
3/07/05,-0.0018
3/08/05,-0.0029
3/09/05,-0.0163
3/10/05,-0.0058
3/11/05,0.0008
3/14/05,0.0069
3/15/05,-0.0075
3/16/05,-0.0066
3/17/05,0.0095
3/18/05,0.0048
3/21/05,-0.0052
3/22/05,-0.0103
3/23/05,-0.0094
3/24/05,0.0008
3/28/05,-0.0013
3/29/05,-0.0149
3/30/05,0.015
3/31/05,0.0084
4/01/05,0.0063
4/04/05,-0.0009
4/05/05,-0.002
4/06/05,0.0069
4/07/05,0.0039
4/08/05,-0.0118
4/11/05,0.0032
4/12/05,-0.0003
4/13/05,-0.0187
4/14/05,-0.0127
4/15/05,-0.0256
4/18/05,0.009
4/19/05,0.0154
4/20/05,-0.0155
4/21/05,0.024
4/22/05,-0.0035
4/25/05,0.0103
4/26/05,-0.0148
4/27/05,-0.0081
4/28/05,-0.0155
4/29/05,0.0119
5/02/05,0.0107
5/03/05,-0.0089
5/04/05,0.0114
5/05/05,0.0004
5/06/05,0.0008
5/09/05,0.0072
5/10/05,-0.0114
5/11/05,0.0054
5/12/05,-0.0232
5/13/05,-0.0141
5/16/05,0.004
5/17/05,0.0133
5/18/05,0.0094
5/19/05,0.0065
5/20/05,-0.0044
5/23/05,0.0081
5/24/05,0.0016
5/25/05,-0.0011
5/26/05,0.0077
5/27/05,0.0066
5/31/05,-0.0047
6/01/05,0.0135
6/02/05,-0.0007
6/03/05,-0.0023
6/06/05,0.0027
6/07/05,-0.0009
6/08/05,-0.002
6/09/05,0.0105
6/10/05,0.0004
6/13/05,0.0029
6/14/05,0.0034
6/15/05,0.0055
6/16/05,0.0078
6/17/05,0.0088
6/20/05,-0.0017
6/21/05,-0.0087
6/22/05,0.0026
6/23/05,-0.0086
6/24/05,-0.0103
6/27/05,0.0056
6/28/05,0.0044
6/29/05,-0.0029
6/30/05,-0.0069
7/01/05,0.0099
7/05/05,0.0142
7/06/05,-0.0123
7/07/05,0.0066
7/08/05,0.0076
7/11/05,0.0093
7/12/05,0.0023
7/13/05,-0.0009
7/14/05,-0.009
7/15/05,-0.0023
7/18/05,-0.0031
7/19/05,0.0129
7/20/05,0.0078
7/21/05,-0.0099
7/22/05,0.0162
7/25/05,-0.0012
7/26/05,-0.002
7/27/05,0.0041
7/28/05,0.0088
7/29/05,-0.006
8/01/05,0.0013
8/02/05,0.0123
8/03/05,-0.0026
8/04/05,-0.0059
8/05/05,-0.0078
8/08/05,0.0018
8/09/05,0.0025
8/10/05,0.0065
8/11/05,0.0092
8/12/05,-0.0037
8/15/05,-0.001
8/16/05,-0.0181
8/17/05,-0.0079
8/18/05,-0.001
8/19/05,0.0089
8/22/05,0.0039
8/23/05,-0.0028
8/24/05,-0.0025
8/25/05,0.0031
8/26/05,-0.0078
8/29/05,0.0075
8/30/05,0.0041
8/31/05,0.0168
9/01/05,0.0129
9/02/05,-0.0087
9/06/05,0.0087
9/07/05,0.0028
9/08/05,-0.0035
9/09/05,0.0163
9/12/05,-0.0062
9/13/05,-0.0079
9/14/05,0.0013
9/15/05,0.0009
9/16/05,0.0084
9/19/05,0.0049
9/20/05,-0.0076
9/21/05,-0.0027
9/22/05,-0.0009
9/23/05,-0.0036
9/26/05,0.0081
9/27/05,0.0022
9/28/05,0.0049
9/29/05,0.008
9/30/05,-0.0017
10/03/05,0.0004
10/04/05,-0.0208
10/05/05,-0.0282
10/06/05,-0.0152
10/07/05,0.0133
10/10/05,-0.0122
10/11/05,0.0071
10/12/05,-0.0112
10/13/05,-0.0135
10/14/05,0.0116
10/17/05,0.008
10/18/05,-0.0251
10/19/05,0.0122
10/20/05,-0.0258
10/21/05,0.0038
10/24/05,0.025
10/25/05,0.0066
10/26/05,-0.0072
