Date,Returns
1/03/05,-0.0063
1/04/05,-0.0117
1/05/05,-0.0038
1/06/05,0.0052
1/07/05,-0.0046
1/10/05,0.003
1/11/05,-0.006
1/12/05,-0.001
1/13/05,-0.0075
1/14/05,0.0053
1/18/05,0.012
1/19/05,-0.0093
1/20/05,-0.0073
1/21/05,-0.0038
1/24/05,-0.0009
1/25/05,0.0029
1/26/05,0.0034
1/27/05,-0.0022
1/28/05,-0.0013
1/31/05,0.0123
2/01/05,0.0097
2/02/05,-0.0004
2/03/05,-0.003
2/04/05,0.0105
2/07/05,-0.001
2/08/05,-0.0008
2/09/05,-0.0067
2/10/05,0.003
2/11/05,0.0069
2/14/05,-0.0005
2/15/05,0.0025
2/16/05,-0.0029
2/17/05,-0.0077
2/18/05,-0.0069
2/22/05,-0.0153
2/23/05,0.0062
2/24/05,0.0062
2/25/05,0.0087
2/28/05,-0.0067
3/01/05,0.0075
3/02/05,-0.0009
3/03/05,-0.0017
3/04/05,0.0121
3/07/05,0.0025
3/08/05,-0.0035
3/09/05,-0.0107
3/10/05,0.003
3/11/05,-0.007
3/14/05,0.0064
3/15/05,-0.0053
3/16/05,-0.0092
3/17/05,-0.0012
3/18/05,-0.002
3/21/05,-0.006
3/22/05,-0.0125
3/23/05,-0.0024
3/24/05,-0.0013
3/28/05,0.0043
3/29/05,-0.0073
3/30/05,0.0128
3/31/05,-0.0014
4/01/05,-0.0116
4/04/05,0.0053
4/05/05,0.0036
4/06/05,0.0038
4/07/05,0.0042
4/08/05,-0.008
4/11/05,0.0002
4/12/05,0.0102
4/13/05,-0.0141
4/14/05,-0.0134
4/15/05,-0.0112
4/18/05,0.0054
4/19/05,0.0048
4/20/05,-0.0153
4/21/05,0.0127
4/22/05,-0.008
4/25/05,0.0123
4/26/05,-0.0064
4/27/05,0.0086
4/28/05,-0.0116
4/29/05,0.0129
5/02/05,0.0045
5/03/05,-0.001
5/04/05,0.0162
5/05/05,-0.0038
5/06/05,-0.0018
5/09/05,0.0073
5/10/05,-0.0124
5/11/05,0.005
5/12/05,-0.0109
5/13/05,-0.0079
5/16/05,0.0154
5/17/05,0.0066
5/18/05,0.0124
5/19/05,0.002
5/20/05,-0.0002
5/23/05,0.0021
5/24/05,-0.0005
5/25/05,-0.0059
5/26/05,0.0083
5/27/05,0.0017
5/31/05,-0.0044
6/01/05,0.0092
6/02/05,0.0005
6/03/05,-0.0052
6/06/05,0.002
6/07/05,0.0006
6/08/05,-0.0024
6/09/05,0.004
6/10/05,-0.0032
6/13/05,0.0017
6/14/05,0.0025
6/15/05,0.0024
6/16/05,0.0037
6/17/05,0.0044
6/20/05,-0.0012
6/21/05,0.0011
6/22/05,-0.0004
6/23/05,-0.0127
6/24/05,-0.0022
6/27/05,0.0001
6/28/05,0.0122
6/29/05,0.0026
6/30/05,-0.0055
7/01/05,0.0023
7/05/05,0.0065
7/06/05,-0.0055
7/07/05,0.0015
7/08/05,0.0109
7/11/05,0.005
7/12/05,0.0002
7/13/05,0.0013
7/14/05,0.0023
7/15/05,0.0019
7/18/05,-0.0076
7/19/05,0.0031
7/20/05,0.0052
7/21/05,-0.0068
7/22/05,0.0067
7/25/05,-0.0057
7/26/05,0.0022
7/27/05,0.0012
7/28/05,0.0071
7/29/05,-0.0082
8/01/05,0.0013
8/02/05,0.0052
8/03/05,0.0003
8/04/05,-0.0067
8/05/05,-0.01
8/08/05,-0.004
8/09/05,0.0059
8/10/05,-0.0014
8/11/05,0.0077
8/12/05,-0.0047
8/15/05,0.0035
8/16/05,-0.0077
8/17/05,0.0003
8/18/05,-0.0005
8/19/05,0.0007
8/22/05,0.0022
8/23/05,-0.0047
8/24/05,-0.0076
8/25/05,0.0022
8/26/05,-0.008
8/29/05,0.0052
8/30/05,-0.0053
8/31/05,0.0099
9/01/05,0.0009
9/02/05,-0.0012
9/06/05,0.0122
9/07/05,0.0029
9/08/05,-0.005
9/09/05,0.006
9/12/05,0.0016
9/13/05,-0.0076
9/14/05,-0.0036
9/15/05,0.0022
9/16/05,0.0103
9/19/05,-0.0085
9/20/05,-0.0069
9/21/05,-0.0123
9/22/05,0.0047
9/23/05,0.0046
9/26/05,-0.0004
9/27/05,0.0012
9/28/05,-0.0021
9/29/05,0.0123
9/30/05,0.0006
10/03/05,-0.0009
10/04/05,-0.0094
10/05/05,-0.0098
10/06/05,0.0022
10/07/05,0.0044
10/10/05,-0.006
10/11/05,-0.006
10/12/05,-0.007
10/13/05,0.0018
10/14/05,0.0115
10/17/05,0.0009
10/18/05,-0.0074
10/19/05,0.0186
10/20/05,-0.0107
10/21/05,0.0047
10/24/05,0.0178
10/25/05,-0.0057
10/26/05,-0.0024
10/27/05,-0.0061
10/28/05,0.0163
10/31/05,0.0069
11/01/05,-0.0018
11/02/05,0.013
11/03/05,-0.0001
11/04/05,0.0016
11/07/05,0.0064
11/08/05,-0.0061
11/09/05,0.0037
11/10/05,0.0154
11/11/05,0.0044
11/14/05,-0.0011
11/15/05,-0.0076
11/16/05,-0.0021
11/17/05,0.0126
11/18/05,0.007
11/21/05,0.0063
11/22/05,0.0052
11/23/05,0.0052
11/25/05,0.0018
11/28/05,-0.0091
11/29/05,0.0011
11/30/05,-0.0076
12/01/05,0.0099
12/02/05,-0.0001
12/05/05,-0.003
12/06/05,0.0011
