Date,Returns
1/03/05,-0.0094
1/04/05,-0.019
1/05/05,-0.005
1/06/05,-0.0017
1/07/05,-0.0001
1/10/05,0.0019
1/11/05,-0.0101
1/12/05,0.0054
1/13/05,-0.0101
1/14/05,0.006
1/18/05,0.0091
1/19/05,-0.0176
1/20/05,-0.0114
1/21/05,-0.0052
1/24/05,-0.0095
1/25/05,0.0032
1/26/05,0.0091
1/27/05,-0.0003
1/28/05,-0.0028
1/31/05,0.0097
2/01/05,0.0009
2/02/05,0.0027
2/03/05,-0.0074
2/04/05,0.0156
2/07/05,-0.0015
2/08/05,0.0028
2/09/05,-0.0144
2/10/05,-0.0003
2/11/05,0.0099
2/14/05,0.0015
2/15/05,0.0054
2/16/05,-0.0024
2/17/05,-0.0123
2/18/05,-0.0024
2/22/05,-0.011
2/23/05,0.0008
2/24/05,0.0071
2/25/05,0.0052
2/28/05,-0.0023
3/01/05,0.0098
3/02/05,-0.0011
3/03/05,-0.0046
3/04/05,0.005
3/07/05,0.0095
3/08/05,-0.0086
3/09/05,-0.0037
3/10/05,0.0011
3/11/05,-0.0101
3/14/05,0.0036
3/15/05,-0.0071
3/16/05,-0.0087
3/17/05,0.0001
3/18/05,-0.0053
3/21/05,0.001
3/22/05,-0.0096
3/23/05,0.0033
3/24/05,-0.0009
3/28/05,0.0016
3/29/05,-0.0071
3/30/05,0.0152
3/31/05,-0.0014
4/01/05,-0.0066
4/04/05,0.0037
4/05/05,0.0014
4/06/05,-0.0019
4/07/05,0.0102
4/08/05,-0.0076
4/11/05,-0.0046
4/12/05,0.0047
4/13/05,-0.0149
4/14/05,-0.0117
4/15/05,-0.027
4/18/05,0.0003
4/19/05,0.0094
4/20/05,-0.0085
4/21/05,0.0273
4/22/05,-0.0118
4/25/05,0.0069
4/26/05,-0.0111
4/27/05,0.0049
4/28/05,-0.0115
4/29/05,0.0096
5/02/05,0.0004
5/03/05,0.0018
5/04/05,0.0125
5/05/05,-0.0033
5/06/05,0.0031
5/09/05,0.0039
5/10/05,-0.0103
5/11/05,0.0032
5/12/05,-0.0015
5/13/05,0.0094
5/16/05,0.0075
5/17/05,0.005
5/18/05,0.0126
5/19/05,0.0084
5/20/05,0.0017
5/23/05,0.0036
5/24/05,0.0025
5/25/05,-0.0044
5/26/05,0.0101
5/27/05,0
5/31/05,-0.0056
6/01/05,0.0074
6/02/05,0.0049
6/03/05,-0.0099
6/06/05,-0.0008
6/07/05,-0.0023
6/08/05,-0.0009
6/09/05,0.0067
6/10/05,-0.004
6/13/05,0.0046
6/14/05,-0.0023
6/15/05,0.0028
6/16/05,0.0024
6/17/05,-0.0001
6/20/05,0
6/21/05,0.0021
6/22/05,0.0017
6/23/05,-0.0093
6/24/05,-0.012
6/27/05,-0.0062
6/28/05,0.0103
6/29/05,0.0005
6/30/05,-0.0072
7/01/05,0.0012
7/05/05,0.0081
7/06/05,-0.0029
7/07/05,0.0021
7/08/05,0.0162
7/11/05,0.0093
7/12/05,0.0041
7/13/05,0.0033
7/14/05,0.0054
7/15/05,0.0006
7/18/05,-0.0068
7/19/05,0.0135
7/20/05,-0.0006
7/21/05,-0.0039
7/22/05,-0.0006
7/25/05,-0.0046
7/26/05,0.0057
7/27/05,0.0063
7/28/05,0.003
7/29/05,-0.0065
8/01/05,0.0028
8/02/05,0.0076
